create_time,breath_line,heart_line
2025/06/22 19:02:37,0.00988348,-0.00516942
2025/06/22 19:02:38,0.0321038,-0.0205282
2025/06/22 19:02:39,-0.0349495,-0.0496634
2025/06/22 19:02:40,0.00753457,-0.0328751
2025/06/22 19:02:41,0.0119456,0.108314
2025/06/22 19:02:42,-0.0189486,-0.0338531
2025/06/22 19:02:43,0.0136126,-0.0216727
2025/06/22 19:02:44,0.0174291,-0.124168
2025/06/22 19:02:45,-0.0167974,0.0312456
2025/06/22 19:02:46,-0.00426231,0.0626765
2025/06/22 19:02:47,0.00660051,0.109674
2025/06/22 19:02:48,0.0100751,0.0863392
2025/06/22 19:02:49,-0.0293392,-0.00930188
2025/06/22 19:02:50,0.00768854,-0.0601903
2025/06/22 19:02:51,0.0419958,-0.128171
2025/06/22 19:02:52,-0.0458812,-0.0368322
2025/06/22 19:02:53,0.00508004,0.011809
2025/06/22 19:02:54,0.047536,0.0575373
2025/06/22 19:02:55,-0.0401557,-0.0976768
2025/06/22 19:02:56,-0.00644296,0.0191339
2025/06/22 19:02:57,0.0313375,-0.179236
2025/06/22 19:02:58,-0.0415406,0.114359
2025/06/22 19:02:59,0.0,0.0
2025/06/22 19:03:00,0.00266474,-0.045238
2025/06/22 19:03:01,-0.0386988,0.143815
2025/06/22 19:03:02,-0.00967033,0.0695972
2025/06/22 19:03:03,0.0386642,-0.345905
2025/06/22 19:03:04,-0.0367034,0.217273
2025/06/22 19:03:05,-0.0106998,0.112909
2025/06/22 19:03:06,0.0291351,-0.208602
2025/06/22 19:03:07,-0.0135266,0.0408642
2025/06/22 19:03:08,0.0474536,-0.0290931
2025/06/22 19:03:09,-0.0634271,0.736742
2025/06/22 19:03:10,0.0,0.0
2025/06/22 19:03:11,0.0179159,-0.0188487
2025/06/22 19:03:12,0.0257683,-0.579789
2025/06/22 19:03:13,-0.0335149,0.205138
2025/06/22 19:03:14,-0.027064,0.0468606
2025/06/22 19:03:15,0.0455152,-0.18792
2025/06/22 19:03:16,-0.0325907,0.0786012
2025/06/22 19:03:17,-0.00630218,-0.0698113
2025/06/22 19:03:18,0.00780311,0.0494639
2025/06/22 19:03:19,-0.103685,-0.0470454
2025/06/22 19:03:20,0.189323,-0.113419
2025/06/22 19:03:21,0.0205626,-0.13103
2025/06/22 19:03:22,-0.00276944,0.02655
2025/06/22 19:03:23,-0.0118082,-0.0379236
2025/06/22 19:03:24,-0.0215353,-0.0476771
2025/06/22 19:03:25,-0.00796241,-0.0066593
2025/06/22 19:03:26,0.00256435,0.0119451
2025/06/22 19:03:27,-0.00424869,-0.00336514
2025/06/22 19:03:28,-0.00118806,-0.0220082
2025/06/22 19:03:29,0.00918324,-0.0300251
2025/06/22 19:03:30,0.0215399,0.109925
2025/06/22 19:03:31,-0.0198519,0.00253037
2025/06/22 19:03:32,0.0,0.0
2025/06/22 19:03:33,0.003151,-0.0543473
2025/06/22 19:03:34,0.00906432,0.00445222
2025/06/22 19:03:35,0.00194661,-0.00553202
2025/06/22 19:03:36,-0.00246591,-0.00220172
2025/06/22 19:03:37,-0.00414673,0.0086223
2025/06/22 19:03:38,-0.0045179,0.0194573
2025/06/22 19:03:39,-0.00352814,0.0174949
2025/06/22 19:03:40,,
2025/06/22 19:03:41,-0.000130855,0.017582
2025/06/22 19:03:42,0.00447084,-0.0171834
2025/06/22 19:03:43,0.00188379,-0.000656889
2025/06/22 19:03:44,0.00146137,-0.0203857
2025/06/22 19:03:45,0.000211302,0.00273782
2025/06/22 19:03:46,-0.00234773,0.00577005
2025/06/22 19:03:47,0.00179277,0.0187727
2025/06/22 19:03:48,0.00972004,-0.0219624
2025/06/22 19:03:49,-0.0161325,-0.0294782
2025/06/22 19:03:50,-0.00311309,0.100594
2025/06/22 19:03:51,-0.00467266,0.0314762
2025/06/22 19:03:52,0.00176475,-0.0660402
